cost_id,cost_name
10000,กยท.สนญ.
10100,สำนักผู้ว่าการ
10101,สำนักผู้ว่าการ
10102,กองกลาง
10103,กองการประชุม
10104,กองประชาสัมพันธ์และเ
10105,กองกิจการต่างประเทศ
10106,กองกำกับดูแลกิจการที
10200,สำนักตรวจสอบภายใน
10201,กองตรวจสอบกระบวนการห
10202,กองตรวจสอบกระบวนการส
10203,กองตรวจสอบหน่วยงานใน
10204,กองพัฒนาและสนับสนุนง
10205,กองตรวจสอบ 1
10206,กองตรวจสอบ 2
10207,กองตรวจสอบ 3
10300,ฝ่ายกฎหมาย
10301,กองนิติกรรมและสัญญา
10302,กองคดีและบังคับคดี
10303,กองสิทธิประโยชน์
10304,กองนิติกรรมสัญญาและอ
10305,กองทรัพย์สินทางปัญญา
10306,กองคดีและบังคับคดี 1
10307,กองคดีและบังคับคดี 2
10400,ฝ่ายการคลัง
10401,กองงบประมาณ
10402,กองการเงิน
10403,กองตรวจจ่าย
10404,กองบัญชี
10405,กองเก็บค่าธรรมเนียม
10500,ฝ่ายทรัพยากรมนุษย์
10501,กองพัฒนาระบบงานและอั
10502,กองการเจ้าหน้าที่
10503,กองค่าตอบแทนและสวัสด
10504,กองวินัยและแรงงานสัม
10505,กองพัฒนาระบบสมรรถนะแ
10506,กองฝึกอบรม
10600,ฝ่ายเทคโนโลยีสารสนเท
10601,กองปฏิบัติการคอมพิว
10602,กองพัฒนาระบบงานและโป
10603,กองพัฒนาระบบสื่อสารข
10604,กองแผนงานและฐานข้อมู
10605,กองระบบคอมพิวเตอร์แล
10606,กองพัฒนาระบบงานโปร 1
10607,กองพัฒนาระบบงานโปร 2
10700,ฝ่ายบริหารทรัพย์สิน
10701,กองบริหารจัดซื้อจ้าง
10702,กองบริหารสัญญา
10703,กองคลังพัสดุ สถานที่
10704,กองบริหารทรัพย์สิน
10705,สำรองคลัง
10706,สำรองคลังรอจำหน่าย
10707,กองบริหารพัสดุ
10708,กองจัดการทรัพย์สิน
10800,ฝ่ายพัฒนาเกษตรกรและส
10801,กองสวัสดิการเกษตรกร
10802,กองส่งเสริมเกษตรกรแล
10803,กองส่งเสริมและพัฒนาอ
10804,กองทะเบียน
10805,กองบริหารกองทุนและสิ
10900,ฝ่ายยุทธศาสตร์องค์กร
10901,กองนโยบายและแผน
10902,กองโครงการพิเศษ
10903,กองประเมินผล
10904,กองบริหารความเสี่ยง
11000,ฝ่ายส่งเสริมและพัฒนา
11001,กองแผนงานและวิชาการ
11002,กองส่งเสริมการปลูกแท
11003,กองผลิตและขยายพันธุ์
11004,กองวิชาการและถ่ายทอด
11005,กองถ่ายทอดเทคโนโลยี
11006,กองส่งเสริมมาตรฐานสว
11007,กองพัฒนาผลผลิต
12000,ฝ่ายเศรษฐกิจยาง
12001,กองวิจัยเศรษฐกิจยาง
12002,กองโลจิสติกส์
12003,กองพัฒนาการตลาดและธุ
12004,กองรักษาเสถียรภาพยาง
12005,กองพัฒนาการตลาดยางพา
12012,สตก.จ.ระยอง
12013,สตก.จ.เชียงราย
13000,หน่วยกํากับดูแลการปฏ
19100,ฝ่ายอุตสาหกรรมยาง
19101,กองวิจัยอุตสาหกรรม
19102,กองมาตรฐานอุตสาหกรรม
19103,กองส่งเสริมและสนับสน
19104,ศูนย์บริการทดสอบรับร
19105,ศูนย์ทดสอบรับตะวันออ
19106,ศูนย์บริการทดสอบรับร
19200,สถาบันวิจัยยาง
19201,กองบริหารงานวิจัย
19202,กองวิจัยและพัฒนาการผ
19203,ศวย.ฉะเชิงเทรา
19204,ศวย.หนองคาย
19205,ศวย.บุรีรัมย์
19206,ศวย.สุราษฎร์ธานี
19207,ศวย.สงขลา
