id_group,name_group,detail
105110000,วัตถุดิบคงเหลือ,
105210000,สินค้าสำเร็จรูป,
105230000,วัสดุการเกษตรคงเหลือ,
105231000,สำรองวัสดุการเกษตร -,
105232000,สำรองวัสดุการเกษตร -,
105232001,สำรองวัสดุการเกษตร -,
105240000,สินค้าและวัสดุคงเหลื,
106110000,วัสดุคงเหลือ,
500100000,ค่าใช้จ่ายในการผลิต,
500101000,ค่าใช้จ่ายผลประโยชน์,
500102000,ค่าตอบแทนพิเศษพื้นที,
500103000,เงินสวัสดิการพนักงาน,
500104000,ค่าใช้จ่ายเดินทาง,
500105000,ค่าบำรุงรักษาซ่อมแซม,
500106000,ค่าเช่า,
500107000,ค่าจ้างเหมาบริการ,
500108000,ค่าใช้จ่ายแปลงผลิตวั,
500109000,ค่าสาธารณูปโภค,
500110000,ค่าวัสดุใช้ไป,
500111000,ค่าเบี้ยประกันและภาษ,
500112000,ค่าเสื่อมราคาและตัดจ,
500113000,ค่าใช้จ่ายส่งออก,
500114000,ค่าใช้สอยอื่น,
500115000,ค่าตัดจำหน่ายสินทรัพ,
500210000,ต้นทุนขาย,
500210100,ต้นทุนขายยาง,
500210200,ต้นทุนขายปาล์ม,
500210300,ต้นทุนขายวัสดุปลูก,
500210400,ต้นทุนขายไม้,
500210500,ต้นทุนขายวัสดุการเกษ,
500210600,ต้นทุนขายอื่นๆ,
500220000,ต้นทุนการผลิต,
500220100,ต้นทุนการผลิตยาง,
500220200,ต้นทุนการผลิตปาล์ม,
500220300,ต้นทุนการผลิตวัสดุปล,
500220400,ต้นทุนการผลิตไม้,
500220500,ต้นทุนการผลิตอื่นๆ,
500230000,ต้นทุนฝ่ายโรงงาน,
600100000,ค่าใช้จ่ายในการบริหา,
600101000,ค่าใช้จ่ายผลประโยชน์,
600102000,ค่าตอบแทนพิเศษพื้นที,
600103000,เงินสวัสดิการพนักงาน,
600104000,ค่าใช้จ่ายเดินทาง,
600105000,ค่าบำรุงรักษาซ่อมแซม,
600106000,ค่าเช่า,
600107000,ค่าจ้างเหมาบริการ,
600108000,ค่าใช้จ่ายแปลงผลิตวั,
600109000,ค่าสาธารณูปโภค,
600110000,ค่าวัสดุใช้ไป,
600111000,ค่าเบี้ยประกันและภาษ,
600112000,ค่าสื่อมราคาและตัดจำ,
600113000,ค่าใช้จ่ายส่งออก,
600114000,ค่าใช้สอยอื่น,
