id_s_ct,name_s_ct
1222,1000
50000,กยท.เขตกลาง/ตะวันออก
70000,กยท.เขตภาคใต้ตอนกลาง
60000,กยท.เขตภาคใต้ตอนบน
80000,กยท.เขตภาคใต้ตอนล่าง
20000,กยท.เขตภาคเหนือ
30000,กยท.เขตอีสานตอนบน
40000,กยท.เขตอีสานตอนล่าง
71000,กยท.จ.กระบี่
50600,กยท.จ.กาญจนบุรี
31000,กยท.จ.กาฬสินธุ์
20601,กยท.จ.กำแพงเพชร
30600,กยท.จ.ขอนแก่น
50200,กยท.จ.จันทบุรี
50400,กยท.จ.ฉะเชิงเทรา
60500,กยท.จ.ชุมพร
20500,กยท.จ.เชียงราย
20100,กยท.จ.เชียงใหม่
71300,กยท.จ.ตรัง
50300,กยท.จ.ตราด
20600,กยท.จ.ตาก
31200,กยท.จ.นครพนม
40300,กยท.จ.นครราชสีมา
70900,กยท.จ.นครศรีฯ
80700,กยท.จ.นราธิวาส
20300,กยท.จ.น่าน
30400,กยท.จ.บึงกาฬ
40400,กยท.จ.บุรีรัมย์
60200,กยท.จ.ประจวบคีรีขันธ
80500,กยท.จ.ปัตตานี
20400,กยท.จ.พะเยา
71100,กยท.จ.พังงา
71400,กยท.จ.พัทลุง
20700,กยท.จ.พิษณุโลก
20200,กยท.จ.แพร่
71200,กยท.จ.ภูเก็ต
31300,กยท.จ.มุกดาหาร
40800,กยท.จ.ยโสธร
80600,กยท.จ.ยะลา
40900,กยท.จ.ร้อยเอ็ด
50100,กยท.จ.ระยอง
30800,กยท.จ.เลย
40600,กยท.จ.ศรีสะเกษ
31100,กยท.จ.สกลนคร
80300,กยท.จ.สงขลา
80400,กยท.จ.สตูล
60300,กยท.จ.สุราษฎร์ธานี
40500,กยท.จ.สุรินทร์
30900,กยท.จ.หนองคาย
30500,กยท.จ.หนองบัวลำภู
30700,กยท.จ.อุดรธานี
50500,กยท.จ.อุทัยธานี
40700,กยท.จ.อุบลราชธานี
40602,กยท.ส.กันทรลักษ์
50102,กยท.ส.แกลง
71002,กยท.ส.เขาพนม
71003,กยท.ส.คลองท่อม
