id_st_lo,name_st_lo,detail
0001,0001,Lager 0001
0001,0088,Lager 0088 (WM)
0001,0100,Lagerort WM&HU
0001,0200,SCM-EWM
0003,0001,Lager 0001
0003,0088,Lager 0088 (WM)
1000,1000,การยางแห่งประเทศ
1000,1001,คลังพัสดุหลัก
1000,1010,กยท.สนญ.
1000,1021,สำนักผู้ว่าการ
1000,1032,กองกลาง
1000,1043,กองการประชุม
1000,1054,กองประชาสัมพันธ์
1000,1065,กองกิจการต่างประ
1000,1070,กองกำกับดูแลกิจก
1000,1081,สำนักตรวจสอบภายใ
1000,1092,กองตรวจสอบกระบวน
1000,1103,กองตรวจสอบกระบวน
1000,1114,กองตรวจสอบหน่วยง
1000,1125,กองพัฒนาและสนับส
1000,1136,กองตรวจสอบ 1
1000,1147,กองตรวจสอบ 2
1000,1150,กองตรวจสอบ 3
1000,1161,ฝ่ายกฎหมาย
1000,1172,กองนิติกรรมและสั
1000,1183,กองคดีและบังคับค
1000,1194,กองสิทธิประโยชน์
1000,1205,กองนิติกรรมสัญญา
1000,1216,กองทรัพย์สินทางป
1000,1227,กองคดีและบังคับค
1000,1230,กองคดีและบังคับค
1000,1241,ฝ่ายการคลัง
1000,1252,กองงบประมาณ
1000,1263,กองการเงิน
1000,1274,กองตรวจจ่าย
1000,1285,กองบัญชี
1000,1290,กองจัดเก็บค่าธรร
1000,1301,ฝ่ายทรัพยากรมนุษ
1000,1312,กองพัฒนาระบบงานแ
1000,1323,กองการเจ้าหน้าที
1000,1334,กองค่าตอบแทนและส
1000,1345,กองวินัยและแรงงา
1000,1356,กองพัฒนาระบบสมรร
1000,1360,กองฝึกอบรม
1000,1371,ฝ่ายเทคโนโลยีสาร
1000,1382,กองปฏิบัติการคอม
1000,1393,กองพัฒนาระบบงานแ
1000,1404,กองพัฒนาระบบสื่อ
1000,1415,กองแผนงานและฐานข
1000,1426,กองระบบคอมพิวเตอ
1000,1437,กองพัฒนาระบบงานแ
1000,1440,กองพัฒนาระบบงานแ
1000,1451,ฝ่ายบริหารทรัพย์
1000,1462,กองบริหารจัดซื้อ
1000,1473,กองบริหารสัญญา
1000,1484,กองคลังพัสดุ สถา
1000,1495,กองบริหารทรัพย์ส
1000,1506,สำรองคลัง
1000,1517,สำรองคลังรอจำหน่
1000,1528,กองบริหารพัสดุ
1000,1530,กองจัดการทรัพย์ส
1000,1541,ฝ่ายพัฒนาเกษตรกร
1000,1552,กองสวัสดิการเกษต
1000,1563,กองส่งเสริมเกษตร
1000,1574,กองส่งเสริมและพั
1000,1585,กองทะเบียน
1000,1590,กองบริหารกองทุนแ
1000,1601,ฝ่ายยุทธศาสตร์อง
1000,1612,กองนโยบายและแผน
1000,1623,กองโครงการพิเศษ
1000,1634,กองประเมินผล
1000,1640,กองบริหารความเสี
1000,1651,ฝ่ายส่งเสริมและพ
1000,1662,กองแผนงานและวิชา
1000,1673,กองส่งเสริมการปล
1000,1684,กองผลิตและขยายพั
1000,1695,กองวิชาการและถ่า
1000,1706,กองถ่ายทอดเทคโนโ
1000,1717,กองส่งเสริมมาตรฐ
1000,1720,กองพัฒนาผลผลิต
1000,1731,ฝ่ายเศรษฐกิจยาง
1000,1742,กองวิจัยเศรษฐกิจ
1000,1753,กองโลจิสติกส์
1000,1764,กองพัฒนาการตลาดแ
1000,1775,กองรักษาเสถียรภา
1000,1782,กองพัฒนาการตลาดย
1000,1793,สตก.จ.ระยอง
1000,1802,สตก.จ.เชียงราย
1000,1810,ชุมพร
1000,1820,หน่วยกํากับดูแลก
1000,1831,ฝ่ายอุตสาหกรรมยา
1000,1842,กองวิจัยอุตสาหกร
1000,1853,กองมาตรฐานอุตสาห
1000,1864,กองส่งเสริมและสน
1000,1875,ศูนย์บริการทดสอบ
